date,house_x,speaker,text,clean_text,text_length,speaker_norm,fullName,firstName,lastName,constituency,party,membership_start,membership_end,gender_guess,in_government
2021-12-01,dail,Deputy Darragh O'Brien,"Deputy Darragh O'Brien
          This is an important proposal and is what we want to see happening. What I will commit to is engaging further. We engaged on the amendments with the Office of the Attorney General. I will take the matter up with the Minister for Justice. We will keep the Deputy in the loop and I will get him connected with the relevant official.",          this is an important proposal and is what we want to see happening what i will commit to is engaging further we engaged on the amendments with the office of the attorney general i will take the matter up with the minister for justice we will keep the deputy in the loop and i will get him connected with the relevant official,62,darragh o'brien,Darragh O'Brien,Darragh,O'Brien,Dublin Fingal,Fianna Fáil,2020-02-08,2024-11-08 00:00:00.000000,male,1
2013-07-17,dail,Acting Chairman (Deputy Jack Wall),"Acting Chairman (Deputy Jack Wall)
          Deputy, please.",          deputy please,2,jack wall,Jack Wall,Jack,Wall,Kildare South,Labour Party,2011-03-09,2016-03-09 00:00:00.000000,male,1
2010-06-22,dail,Deputy Phil Hogan,"Deputy Phil Hogan
          What type of developments are envisaged in relation to substitute consent?  Is it to be treated as a normal planning application apart from being a different category of application?  Instead of full planning approval substitute consent is being sought — rather than retention.  Is this not another category of application to the local authority?",          what type of developments are envisaged in relation to substitute consent  is it to be treated as a normal planning application apart from being a different category of application  instead of full planning approval substitute consent is being sought  rather than retention  is this not another category of application to the local authority,53,phil hogan,Phil Hogan,Phil,Hogan,Carlow-Kilkenny,Fine Gael,2007-06-14,2011-02-01 00:00:00.000000,male,0
2013-11-26,dail,Deputy Michael Noonan,"Deputy Michael Noonan
          I move amendment No. 31:
          In page 16, line 12, to delete “1 January 2014” and substitute “25 October 2013”.",          i move amendment no 31           in page 16 line 12 to delete 1 january 2014 and substitute 25 october 2013,20,michael noonan,Michael Noonan,Michael,Noonan,Limerick City,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2010-11-03,dail,An Ceann Comhairle,"An Ceann Comhairle
            This is Question Time, Deputy.",            this is question time deputy,5,seamus kirk,Seamus Kirk,Seamus,Kirk,Louth,Fianna Fáil,2007-06-14,2011-02-01 00:00:00.000000,male,1
2017-11-22,dail,Senator Rónán Mullen,"Senator Rónán Mullen
          I have a question for the Chairman. I actually did a lot of preparation for this meeting and even when I am not present in the room I am willing to bet with my colleague across the floor that I am every bit as informed of the issues raised by witnesses as he himself is. Leaving that aside, however, I wish to ask the Chairman if she intends to return to this at a later point or whether I have an opportunity to conclude as the matter has run on.",          i have a question for the chairman i actually did a lot of preparation for this meeting and even when i am not present in the room i am willing to bet with my colleague across the floor that i am every bit as informed of the issues raised by witnesses as he himself is leaving that aside however i wish to ask the chairman if she intends to return to this at a later point or whether i have an opportunity to conclude as the matter has run on,90,ronan mullen,Rónán Mullen,Rónán,Mullen,National University of Ireland,Independent,2016-04-25,2020-03-29 00:00:00.000000,unknown,1
2015-09-02,dail,Chairman,"Chairman
            Sorry Mr. Fingleton, I'm going to have to move on. Next question, Senator, please.",            sorry mr fingleton im going to have to move on next question senator please,14,sean barrett,Seán Barrett,Seán,Barrett,Dún Laoghaire,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2017-05-24,seanad,Senator Michelle Mulherin,"Senator Michelle Mulherin
          Which farmers should be taken out?",          which farmers should be taken out,6,michelle mulherin,Michelle Mulherin,Michelle,Mulherin,Nominated by the Taoiseach,Fine Gael,2016-04-25,2020-03-29 00:00:00.000000,female,1
2014-04-30,dail,Deputy John Halligan,"Deputy John Halligan
          I spent the last two weeks canvassing in my constituency for certain people who I hope will be elected, and people's feelings about the Government's arrogance are coming across on the doorsteps. The Government does not care and is not listening or paying attention.",          i spent the last two weeks canvassing in my constituency for certain people who i hope will be elected and peoples feelings about the governments arrogance are coming across on the doorsteps the government does not care and is not listening or paying attention,44,john halligan,John Halligan,John,Halligan,Waterford,Independent,2011-03-09,2016-03-09 00:00:00.000000,male,0
2010-07-07,dail,Acting Chairman (Deputy Jan O’Sullivan),"Acting Chairman (Deputy Jan O’Sullivan)
          The Deputy's time has concluded.",          the deputys time has concluded,5,jan o'sullivan,Jan O'Sullivan,Jan,O'Sullivan,Limerick East,Labour Party,2007-06-14,2011-02-01 00:00:00.000000,male,0
2022-12-08,dail,Deputy Jennifer Carroll MacNeill,"Deputy Jennifer Carroll MacNeill
          That is fair enough. It is up to us as legislators, therefore, to ensure that will change, given I have a concern about the scale of advertising and gambling. Representatives of the gambling industry appeared before us in the Oireachtas Joint Committee on Justice to discuss a range of these points, which are by no means exclusive to the national lottery. We need to know what the spend is, what the distribution of that spend is and how it relates to other issues. I appreciate Mr. Algeo cannot answer my questions because it is a commercially sensitive matter and I totally respect that in regard to commercial organisations, but we have a different set of difficulties as legislators.
           Turning to player welfare, approximately how many people work in Premier Lotteries Ireland?",          that is fair enough it is up to us as legislators therefore to ensure that will change given i have a concern about the scale of advertising and gambling representatives of the gambling industry appeared before us in the oireachtas joint committee on justice to discuss a range of these points which are by no means exclusive to the national lottery we need to know what the spend is what the distribution of that spend is and how it relates to other issues i appreciate mr algeo cannot answer my questions because it is a commercially sensitive matter and i totally respect that in regard to commercial organisations but we have a different set of difficulties as legislators            turning to player welfare approximately how many people work in premier lotteries ireland,131,jennifer carroll macneill,Jennifer Carroll MacNeill,Jennifer,Carroll MacNeill,Dún Laoghaire,Fine Gael,2020-02-08,2024-11-08 00:00:00.000000,female,1
2010-03-10,dail,Deputy Ruairí Quinn,"Deputy Ruairí Quinn
          Not any more.",          not any more,3,ruairi quinn,Ruairí Quinn,Ruairí,Quinn,Dublin South-East,Labour Party,2007-06-14,2011-02-01 00:00:00.000000,male,0
2021-07-16,seanad,Deputy Mary Butler,"Deputy Mary Butler
          We need to bring this conversation back into context a little. I understand where the Senator is coming from. There is absolutely no impediment in legislation or practice to prevent a person who is receiving care under the nursing home support scheme from leaving nursing home care and returning home or to a different setting.
           The nursing home support scheme was put in place in 2009 to ensure there would be no financial barrier to anyone who needed long-term care. I will give an indication of how seriously the Government takes this. Last year the cost of the nursing home support scheme was €1.4 billion and approximately 22,500 people availed of the scheme. The amount of financial aid that came in from costs people paid to support their care was €350 million. We will be turning our eye towards the budgets very soon. When I look at my budget, there is €1 billion gone out of it to support the scheme. It is a very good scheme that has worked very well.
           What we are doing today is correcting an anomaly that came from the 2009 Act whereby farm families and those with small business were not treated as fairly as people who had a principal private residence. That is the nub of why I stand before Senators; it is to correct that anomaly. Many organisations like the IFA, Teagasc and Agriland have been raising the matter of the anomaly for many years. That is the whole purpose of this Bill. There is also an amendment that was included in the Bill in the Dáil on Wednesday. It is a really important one and there has not been much conversation around it. It provides for a situation where a person moves into a nursing home and their house is sold in the meantime. Previously, if a person stayed in the nursing home beyond three years, the 7.5% he or she had to pay was not capped at three years. This amendment has been included now and we have been working very closely with the Department of Housing, Local Government and Heritage on it. It means that when a person is in a nursing home and his or her house is sold, there is no impediment to selling the house. We know 37% of people who enter nursing homes are there for six or seven months. Not everybody is in a nursing home for a long time. There are some people who are but not everybody. That is important. We also must put this in the context of the majority of people who go into nursing homes being very sick, very old, having complex care issues and some of them are vulnerable. They need that support of 24-hour nursing care and because of the nursing home support scheme they are able to get it. It is not common, but a number of people do regularly leave nursing home care to return home, move into different nursing homes, or into different care settings.
           Over the last 12 months people have actually decided to stay out of residential care because of Covid and because of the visiting restrictions. They opted to stay at home more and to try to get supports through home care and also privately in order to do that. That should be acknowledged as well. In cases where there are financial challenges, it is worth noting access to the scheme is predicated on a care needs assessment which determines whether long-term residential care is necessary for the individual in question based on their clinical needs, community supports and overall level of dependency. There is a nursing home loan as well that 15% of people in the nursing home support scheme avail of. Without labouring the point, the scheme is here to support older people who need nursing home care and it means anybody who needs nursing home care is able to afford it. That is the point that must be made.
           As I said earlier, work is ongoing in the Department to determine the optimal approach to the development of the new statutory home care scheme within the broader context of the ongoing reform of the health and social care system, as envisaged in the Sláintecare report. As I said, the work encompasses the development of the regulatory framework for the new scheme. The pilot of a reformed model of service delivery is due to commence in 2021. Regarding the development of a regulatory framework for home support services, I am pleased to say the Government gave approval in April to draft a general scheme and heads of a Bill to establish a licensing framework for publicly-funded for-profit and not-for-profit home support providers. I intend to progress this general scheme and heads of Bill as a priority with a view to bringing it through the Houses at the earliest opportunity.
           It is also a Government priority to ensure older people have sufficient housing options in place to meet their needs. Last Tuesday myself and the Minister of State, Deputy Peter Burke, were in Navan where the Age Friendly Ireland healthy homes approach was launched. Nine local authorities throughout the country are taking part in a pilot programme where 4,500 people will be assisted to ""rightsize"" their home, that is, not to downsize their home but to rightsize it. That is the new buzzword. Supports will be given to a person if he or she needs, for example, advice on how to get a solicitor if he or she needs to sell his or her home, or a person might need advice on property tax. It covers all these things older people may find hard to navigate if they do not have a family member to support them. Age Friendly Ireland is doing phenomenal work and I congratulate the people involved on the work they are doing. We want to support older people to remain living in their own homes or in a home more suited to their needs through the provision of targeted supports. The most important thing for older people is - one finds this if one talks to older people - the option to live in their own home for as long as possible, with the correct wraparound supports. That is what we all aspire to. There is always going to be a small minority of people who need nursing home care. It is great that we have the facility and that there is a scheme to support financially any person who wants or needs nursing home care.
           I accept and appreciate the issues that have been raised about the up to 1,700 people under the age of 65 years who have been placed in nursing homes, maybe because of disabilities, acquired brain injuries or reasons like that. I accept the report that was there although I thought the sample was very small, in that it referred to 17 people out of 1,700. As I said, we will continue to work with the Minister of State, Deputy Rabbitte, to do the very best we can. It is important for the House to accept there is a huge amount of work going on. I do not think it would be appropriate to introduce a legislative amendment to this Bill, which is focused on family farms and businesses, focused on this question. I therefore cannot accept it. I understand there are many wider issues which I will be returning often to the House to debate but today this Nursing Homes Support Scheme (Amendment) Bill 2021 is purely intended to change an anomaly that was there since 2009. Many colleagues in both Houses have spoken about this for many years and I welcome all the positive comments on it.",          we need to bring this conversation back into context a little i understand where the senator is coming from there is absolutely no impediment in legislation or practice to prevent a person who is receiving care under the nursing home support scheme from leaving nursing home care and returning home or to a different setting            the nursing home support scheme was put in place in 2009 to ensure there would be no financial barrier to anyone who needed longterm care i will give an indication of how seriously the government takes this last year the cost of the nursing home support scheme was 14 billion and approximately 22500 people availed of the scheme the amount of financial aid that came in from costs people paid to support their care was 350 million we will be turning our eye towards the budgets very soon when i look at my budget there is 1 billion gone out of it to support the scheme it is a very good scheme that has worked very well            what we are doing today is correcting an anomaly that came from the 2009 act whereby farm families and those with small business were not treated as fairly as people who had a principal private residence that is the nub of why i stand before senators it is to correct that anomaly many organisations like the ifa teagasc and agriland have been raising the matter of the anomaly for many years that is the whole purpose of this bill there is also an amendment that was included in the bill in the dáil on wednesday it is a really important one and there has not been much conversation around it it provides for a situation where a person moves into a nursing home and their house is sold in the meantime previously if a person stayed in the nursing home beyond three years the 75 he or she had to pay was not capped at three years this amendment has been included now and we have been working very closely with the department of housing local government and heritage on it it means that when a person is in a nursing home and his or her house is sold there is no impediment to selling the house we know 37 of people who enter nursing homes are there for six or seven months not everybody is in a nursing home for a long time there are some people who are but not everybody that is important we also must put this in the context of the majority of people who go into nursing homes being very sick very old having complex care issues and some of them are vulnerable they need that support of 24hour nursing care and because of the nursing home support scheme they are able to get it it is not common but a number of people do regularly leave nursing home care to return home move into different nursing homes or into different care settings            over the last 12 months people have actually decided to stay out of residential care because of covid and because of the visiting restrictions they opted to stay at home more and to try to get supports through home care and also privately in order to do that that should be acknowledged as well in cases where there are financial challenges it is worth noting access to the scheme is predicated on a care needs assessment which determines whether longterm residential care is necessary for the individual in question based on their clinical needs community supports and overall level of dependency there is a nursing home loan as well that 15 of people in the nursing home support scheme avail of without labouring the point the scheme is here to support older people who need nursing home care and it means anybody who needs nursing home care is able to afford it that is the point that must be made            as i said earlier work is ongoing in the department to determine the optimal approach to the development of the new statutory home care scheme within the broader context of the ongoing reform of the health and social care system as envisaged in the sláintecare report as i said the work encompasses the development of the regulatory framework for the new scheme the pilot of a reformed model of service delivery is due to commence in 2021 regarding the development of a regulatory framework for home support services i am pleased to say the government gave approval in april to draft a general scheme and heads of a bill to establish a licensing framework for publiclyfunded forprofit and notforprofit home support providers i intend to progress this general scheme and heads of bill as a priority with a view to bringing it through the houses at the earliest opportunity            it is also a government priority to ensure older people have sufficient housing options in place to meet their needs last tuesday myself and the minister of state deputy peter burke were in navan where the age friendly ireland healthy homes approach was launched nine local authorities throughout the country are taking part in a pilot programme where 4500 people will be assisted to rightsize their home that is not to downsize their home but to rightsize it that is the new buzzword supports will be given to a person if he or she needs for example advice on how to get a solicitor if he or she needs to sell his or her home or a person might need advice on property tax it covers all these things older people may find hard to navigate if they do not have a family member to support them age friendly ireland is doing phenomenal work and i congratulate the people involved on the work they are doing we want to support older people to remain living in their own homes or in a home more suited to their needs through the provision of targeted supports the most important thing for older people is  one finds this if one talks to older people  the option to live in their own home for as long as possible with the correct wraparound supports that is what we all aspire to there is always going to be a small minority of people who need nursing home care it is great that we have the facility and that there is a scheme to support financially any person who wants or needs nursing home care            i accept and appreciate the issues that have been raised about the up to 1700 people under the age of 65 years who have been placed in nursing homes maybe because of disabilities acquired brain injuries or reasons like that i accept the report that was there although i thought the sample was very small in that it referred to 17 people out of 1700 as i said we will continue to work with the minister of state deputy rabbitte to do the very best we can it is important for the house to accept there is a huge amount of work going on i do not think it would be appropriate to introduce a legislative amendment to this bill which is focused on family farms and businesses focused on this question i therefore cannot accept it i understand there are many wider issues which i will be returning often to the house to debate but today this nursing homes support scheme amendment bill 2021 is purely intended to change an anomaly that was there since 2009 many colleagues in both houses have spoken about this for many years and i welcome all the positive comments on it,1286,mary butler,Mary Butler,Mary,Butler,Waterford,Fianna Fáil,2020-02-08,2024-11-08 00:00:00.000000,female,1
2021-02-16,dail,Chairman,"Chairman
          Do Mr. O'Rourke or Mr. Corbally want to take those as he addressed a number of them to the mushroom sector?",          do mr orourke or mr corbally want to take those as he addressed a number of them to the mushroom sector,21,sean o fearghail,Seán Ó Fearghaíl,Seán,Ó Fearghaíl,Kildare South,Fianna Fáil,2020-02-08,2024-11-08 00:00:00.000000,male,1
2014-04-30,dail,Deputy Finian McGrath,"Deputy Finian McGrath
          The bad boys in Fine Gael again.",          the bad boys in fine gael again,7,finian mcgrath,Finian McGrath,Finian,McGrath,Dublin North-Central,Independent,2011-03-09,2016-03-09 00:00:00.000000,unknown,0
2010-05-20,dail,Deputy Jim O’Keeffe,"Deputy Jim O’Keeffe
          The powers the Minister has under section 25 covering the examination of these accounts and the raising of questions thereon do not appear to have been exercised.",          the powers the minister has under section 25 covering the examination of these accounts and the raising of questions thereon do not appear to have been exercised,27,jim o'keeffe,Jim O'Keeffe,Jim,O'Keeffe,Cork South-West,Fine Gael,2007-06-14,2011-02-01 00:00:00.000000,male,0
2018-10-10,seanad,Senator Kieran O'Donnell,"Senator Kieran O'Donnell
          Next Tuesday.",          next tuesday,2,kieran o'donnell,Kieran O'Donnell,Kieran,O'Donnell,Cultural and Educational Panel,Fine Gael,2016-04-25,2020-02-08 00:00:00.000000,male,1
2013-10-08,dail,Deputy Dara Calleary,"Deputy Dara Calleary
          What is the difference between a guidance interview and an update interview? In the second quarter the target figure for initial one-to-one guidance interviews was 90,083, but there was a common number of update interviews at 78,700. Do these figures relate to the same thing?",          what is the difference between a guidance interview and an update interview in the second quarter the target figure for initial onetoone guidance interviews was 90083 but there was a common number of update interviews at 78700 do these figures relate to the same thing,45,dara calleary,Dara Calleary,Dara,Calleary,Mayo,Fianna Fáil,2011-03-09,2016-03-09 00:00:00.000000,female,0
2019-07-09,seanad,Acting Chairman (Senator Gerry Horkan),"Acting Chairman (Senator Gerry Horkan)
          I welcome the Minister for Justice and Equality, Deputy Charles Flanagan, to the House. This is a Seanad Bill which has been amended by the Dáil. In accordance with Standing Order 148, it is deemed to have passed its First, Second and Third Stages in the Seanad and is placed on the Order Paper for Report Stage. On the question ""That the Bill be received for final consideration"", the Minister may explain the purpose of the amendments made by the Dáil. This is looked upon as the report of the Dáil amendments to the Seanad.
           For the convenience of Senators, I have arranged for the printing and circulation of the amendments and the proposed grouping. The Minister will deal separately with the subject matter of each related group of amendments. Senators may contribute once on each grouping. I remind Senators that the only matters that may be discussed are the amendments made by the Dáil.",          i welcome the minister for justice and equality deputy charles flanagan to the house this is a seanad bill which has been amended by the dáil in accordance with standing order 148 it is deemed to have passed its first second and third stages in the seanad and is placed on the order paper for report stage on the question that the bill be received for final consideration the minister may explain the purpose of the amendments made by the dáil this is looked upon as the report of the dáil amendments to the seanad            for the convenience of senators i have arranged for the printing and circulation of the amendments and the proposed grouping the minister will deal separately with the subject matter of each related group of amendments senators may contribute once on each grouping i remind senators that the only matters that may be discussed are the amendments made by the dáil,155,gerry horkan,Gerry Horkan,Gerry,Horkan,Industrial and Commercial Panel,Fianna Fáil,2016-04-25,2020-03-29 00:00:00.000000,male,0
2015-06-11,dail,Chairman,"Chairman
            Okay, all right, thank you. Senator O'Keeffe.",            okay all right thank you senator okeeffe,7,sean barrett,Seán Barrett,Seán,Barrett,Dún Laoghaire,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2010-07-07,dail,The Taoiseach,"The Taoiseach
            Consumer demand is an important factor in growth rates and the potential to return growth to depressed economies.  I take that point.  In our country, with a relatively small domestic consumer market, export-led growth is of far greater importance than to larger countries with a domestic consumer market where domestic spending is a bigger factor in recovery.  With 50% of our exports to the US and UK combined, we look to those economies recovering.  Being a small open economy, what happens elsewhere has a determinant effect on how quickly we can establish growth and employment as a result.  We know there is a lag between establishing economic growth and employment growth.  Companies and businesses must be satisfied that the change in the economic cycle is such that they can take on more labour to produce more goods and services on the basis of recognised extra demand.
            I hear what Deputy Higgins says in respect of the Finnish experience.  Finland did a remarkable job in the aftermath of the fall of the Soviet Union when the country lost 40% of its market almost overnight.  Through research and development and investment in important areas like education and a good business environment——",            consumer demand is an important factor in growth rates and the potential to return growth to depressed economies  i take that point  in our country with a relatively small domestic consumer market exportled growth is of far greater importance than to larger countries with a domestic consumer market where domestic spending is a bigger factor in recovery  with 50 of our exports to the us and uk combined we look to those economies recovering  being a small open economy what happens elsewhere has a determinant effect on how quickly we can establish growth and employment as a result  we know there is a lag between establishing economic growth and employment growth  companies and businesses must be satisfied that the change in the economic cycle is such that they can take on more labour to produce more goods and services on the basis of recognised extra demand             i hear what deputy higgins says in respect of the finnish experience  finland did a remarkable job in the aftermath of the fall of the soviet union when the country lost 40 of its market almost overnight  through research and development and investment in important areas like education and a good business environment,199,brian cowen,Brian Cowen,Brian,Cowen,Laois-Offaly,Fianna Fáil,2007-06-14,2011-02-01 00:00:00.000000,male,1
2012-07-04,seanad,Senator Labhrás Ó Murchú,"Senator Labhrás Ó Murchú
          I support the sentiments expressed by Senator Brennan this morning in regard to sports capital funding.  During the good years, excellent infrastructure for amateur sports in particular was put in place in communities throughout the country.  The question is often asked if this is a luxury that should be sidelined at a time when the country is economically challenged.  However, it must be acknowledged that the availability of such facilities ensures we do not have anti-social behaviour from young people who have nothing else to do in our communities.  It is also a nursery for the champions who will eventually emerge.  We all know what this means to Ireland in terms of recognition and acknowledgement.  It is also a morale boost for people when these champions are successful.  In this regard, two people come to mind, Senator Eamonn Coghlan, a Member of this House, and Ronnie Delaney.  Therefore, if we are measuring the importance in an economic sense of the grants Senator Terry Brennan mentioned, we must put it in context.  I am aware of quite a number of projects which started in better days with these bodies raising money to develop them and eventually applying for a capital grant, but now they are in a cul-de-sac.  Ireland is very appreciative of sports, and I mean ""sports"" in a sense of diversity also.  Will the Leader, in so far as is possible, indicate the House believes that the idea of sports as a luxury or a hobby must be re-examined?  If possible we must ensure we can get a greater pro rata base of grant.  As has already been mentioned, what is available is €1 to €7.50 which is quite a big gap.  Perhaps there is still an opportunity prior to the budget to revisit this issue.",          i support the sentiments expressed by senator brennan this morning in regard to sports capital funding  during the good years excellent infrastructure for amateur sports in particular was put in place in communities throughout the country  the question is often asked if this is a luxury that should be sidelined at a time when the country is economically challenged  however it must be acknowledged that the availability of such facilities ensures we do not have antisocial behaviour from young people who have nothing else to do in our communities  it is also a nursery for the champions who will eventually emerge  we all know what this means to ireland in terms of recognition and acknowledgement  it is also a morale boost for people when these champions are successful  in this regard two people come to mind senator eamonn coghlan a member of this house and ronnie delaney  therefore if we are measuring the importance in an economic sense of the grants senator terry brennan mentioned we must put it in context  i am aware of quite a number of projects which started in better days with these bodies raising money to develop them and eventually applying for a capital grant but now they are in a culdesac  ireland is very appreciative of sports and i mean sports in a sense of diversity also  will the leader in so far as is possible indicate the house believes that the idea of sports as a luxury or a hobby must be reexamined  if possible we must ensure we can get a greater pro rata base of grant  as has already been mentioned what is available is 1 to 750 which is quite a big gap  perhaps there is still an opportunity prior to the budget to revisit this issue,297,labhras o murchu,Labhrás Ó Murchú,Labhrás,Ó Murchú,Cultural and Educational Panel,Fianna Fáil,2011-05-25,2016-04-24 00:00:00.000000,unknown,0
2015-03-11,dail,Chairman,"Chairman
          On behalf of the joint committee, I thank Dr. Muldoon and his team for attending today. Whenever we complete our report, we will launch it and invite his office to be present to hear our recommendations.",          on behalf of the joint committee i thank dr muldoon and his team for attending today whenever we complete our report we will launch it and invite his office to be present to hear our recommendations,36,sean barrett,Seán Barrett,Seán,Barrett,Dún Laoghaire,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2013-05-15,dail,Minister of State at the Department of Education and Skills (Deputy Ciarán Cannon),"Minister of State at the Department of Education and Skills (Deputy Ciarán Cannon)
            The Tipperary hostel project, under the then FÁS jobs initiative programme, was involved in the transformation of a Famine-era workhouse in Tipperary town into self-catering accommodation for tourists. This was overseen by a development company, Tipperary Hostel Limited. The company was primarily funded through Pobal, a not-for-profit organisation that manages funding programmes on behalf of the Government, with a manpower element provided by FÁS through the jobs initiative programme.
             In June 2010 as a result of findings from an audit report into the project, FÁS decided to discontinue funding to the jobs initiative at Tipperary hostel. An investigation is ongoing into the findings of the audit report into the Tipperary hostel project. This investigation is expected to be completed by the end of June. It may be that the matter will then be referred to the Garda. The Deputy will understand that I cannot comment or speculate on the possible findings or outcomes from these investigations at this time.",            the tipperary hostel project under the then fás jobs initiative programme was involved in the transformation of a famineera workhouse in tipperary town into selfcatering accommodation for tourists this was overseen by a development company tipperary hostel limited the company was primarily funded through pobal a notforprofit organisation that manages funding programmes on behalf of the government with a manpower element provided by fás through the jobs initiative programme              in june 2010 as a result of findings from an audit report into the project fás decided to discontinue funding to the jobs initiative at tipperary hostel an investigation is ongoing into the findings of the audit report into the tipperary hostel project this investigation is expected to be completed by the end of june it may be that the matter will then be referred to the garda the deputy will understand that i cannot comment or speculate on the possible findings or outcomes from these investigations at this time,159,ciaran cannon,Ciarán Cannon,Ciarán,Cannon,Galway East,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,unknown,1
2010-03-10,dail,Deputy Leo Varadkar,"Deputy Leo Varadkar
            The Square will not cut rents, unlike Blanchardstown.",            the square will not cut rents unlike blanchardstown,8,leo varadkar,Leo Varadkar,Leo,Varadkar,Dublin West,Fine Gael,2007-06-14,2011-02-01 00:00:00.000000,male,0
2010-12-01,dail,An Ceann Comhairle,"An Ceann Comhairle
          Questions on the Order of Business must be about promised legislation.",          questions on the order of business must be about promised legislation,11,seamus kirk,Seamus Kirk,Seamus,Kirk,Louth,Fianna Fáil,2007-06-14,2011-02-01 00:00:00.000000,male,1
2015-10-20,dail,Deputy Ray Butler,"Deputy Ray Butler
          He is wrong. His facts are wrong.",          he is wrong his facts are wrong,7,ray butler,Ray Butler,Ray,Butler,Meath West,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2022-02-15,dail,Chairman,"Chairman
          That is below the word ""lighthouse"", just below it.",          that is below the word lighthouse just below it,9,sean o fearghail,Seán Ó Fearghaíl,Seán,Ó Fearghaíl,Kildare South,Fianna Fáil,2020-02-08,2024-11-08 00:00:00.000000,male,1
2010-05-12,seanad,Senator Donie Cassidy,"Senator Donie Cassidy
          The Senator can do whatever he likes.  I have been getting this for two and a half years.",          the senator can do whatever he likes  i have been getting this for two and a half years,18,donie cassidy,Donie Cassidy,Donie,Cassidy,Labour Panel,Fianna Fáil,2007-07-23,2011-04-25 00:00:00.000000,unknown,1
2010-11-30,dail,Deputy Éamon Ó Cuív,"Deputy Éamon Ó Cuív
          I completely concur with the Deputy; local authorities must take responsibility for housing.",          i completely concur with the deputy local authorities must take responsibility for housing,13,eamon o cuiv,Éamon Ó Cuív,Éamon,Ó Cuív,Galway West,Fianna Fáil,2007-06-14,2011-02-01 00:00:00.000000,unknown,1
2015-03-25,dail,Deputy Brendan Howlin,"Deputy Brendan Howlin
            As the Deputy will be aware, the programme of State asset disposals agreed by the Government in February 2012 included, inter alia, the disposal of the State's remaining shareholding in Aer Lingus. However, I made it clear at that time that a disposal of the Aer Lingus shareholding could only take place when market conditions were favourable and in circumstances that accorded with Government transport policy, as well as at an acceptable price for the taxpayer and the Government. This has continued to be the Government's consistent position since 2012. The Deputy also will be aware that following the announcement of IAG's approaches to Aer Lingus, the latter is now in an offer period under the Irish takeover rules. These rules impose a range of specific obligations on Ministers, as shareholders in Aer Lingus, including obligations of confidentiality and obligations to ensure statements made in connection with the offer are accurate and not misleading. These obligations are particularly acute for the Government given the pivotal role the State has regarding any proposed bid for Aer Lingus.
             The Government has made clear, through statements made by the Minister for Transport, Tourism and Sport, that the key issues of concern in the context of any potential disposal are connectivity to and from Ireland, including direct transatlantic services and connectivity via Heathrow, competition in the air transport market, jobs in the Irish aviation sector and the maintenance of the Aer Lingus brand. In that context, the Minister for Transport, Tourism and Sport announced last month that the information and commitments that had been provided by IAG on these issues did not provide a basis on which the Government could give an irrevocable commitment to accept an offer to dispose of its shares, should one be made by IAG. The interdepartmental steering group, of which my Department is a member, was mandated to continue discussions with IAG with a view to seeking an improved proposal with greater clarity and certainty regarding the implications of a potential takeover on the key issues I have outlined above.",            as the deputy will be aware the programme of state asset disposals agreed by the government in february 2012 included inter alia the disposal of the states remaining shareholding in aer lingus however i made it clear at that time that a disposal of the aer lingus shareholding could only take place when market conditions were favourable and in circumstances that accorded with government transport policy as well as at an acceptable price for the taxpayer and the government this has continued to be the governments consistent position since 2012 the deputy also will be aware that following the announcement of iags approaches to aer lingus the latter is now in an offer period under the irish takeover rules these rules impose a range of specific obligations on ministers as shareholders in aer lingus including obligations of confidentiality and obligations to ensure statements made in connection with the offer are accurate and not misleading these obligations are particularly acute for the government given the pivotal role the state has regarding any proposed bid for aer lingus              the government has made clear through statements made by the minister for transport tourism and sport that the key issues of concern in the context of any potential disposal are connectivity to and from ireland including direct transatlantic services and connectivity via heathrow competition in the air transport market jobs in the irish aviation sector and the maintenance of the aer lingus brand in that context the minister for transport tourism and sport announced last month that the information and commitments that had been provided by iag on these issues did not provide a basis on which the government could give an irrevocable commitment to accept an offer to dispose of its shares should one be made by iag the interdepartmental steering group of which my department is a member was mandated to continue discussions with iag with a view to seeking an improved proposal with greater clarity and certainty regarding the implications of a potential takeover on the key issues i have outlined above,341,brendan howlin,Brendan Howlin,Brendan,Howlin,Wexford,Labour Party,2011-03-09,2016-03-09 00:00:00.000000,male,1
